_id,title,category,description,price
5ece2d3ef588ad2fe4d3f6f7,sharpener,art and,it will work,40
5ece32997b8d383974940282,rubber123,art and,it will break at sql,70
5ece44a2c6060e209484abb1,hastowork,artddd,just run,1000
5ece46d7b39654005bb1884b,trying,nvnvn,DSNF nsmdfn sdnfm,345
5ece692a4fc50f005b2eee51,Pentonic,Writting,sdfsldflsd gel pen,10 * 10
5ece6ad64fc50f005b2eee52,Feber-Castell,Decorative,hfslkdjfsdj Fabric Paints,175
5ecea94741d5550059485f56,Camlin Poster Col,Decorative,"sahgasfj Poster Colors
asas",200
5eceaa48dd4638012a565072,Camlin Kokuyo Water Colours,Art and Craft,djhfsdf Water color Cakes,175
5ecead95dd4638012a565073,GreatDio®,Decio,GreatDio®,200
5ecfb006d6c0d6009cdd8363,test,art and craft,new test,200
5ecfe435fc382f005aab02ac,AGNI 4G Ball Pen,Writing Products,Each Pack Contains 10 Pcs Pen Smooth writing pen,3
5ecfe49dfc382f005aab02ad,Cello Finegrip,Writing Products,"Soft tip gives soft and smooth writing
0.7mm tip for fine writing, Strong and durable body
Elasto grip for comfortable writing
The product comes along with the Jar",7
5ecfe549fc382f005aab02ae,Classmate Octane Ball Pen,Writing Products,"2 times longer writing experience
Special ink for super smooth writing
Textured grip for super grasp",10
5ecfe659f21ce40059c50093,JK Copier Paper A4 500 Sheets 75 GSM 1 Ream,School and office products,"Colour: White Ideal for quality photocopying
Suitable for any job on office printer, inkjet and laserjet
ColorLok technology - Faster drying, bolder blacks, vivid colors",310
5ecfe65af21ce40059c50094,JK Copier Paper A4 500 Sheets 75 GSM 1 Ream,School and office products,"Colour: White Ideal for quality photocopying
Suitable for any job on office printer, inkjet and laserjet
ColorLok technology - Faster drying, bolder blacks, vivid colors",310
5ecfe70ff21ce40059c50095,Century Green Copier Paper ,School and office products,"Colour: white
Minimum machine jamming
Ideal for photocopying Colorlok technology - faster drying, bolder blacks, vivid colurs",210
5ecfe7a8f21ce40059c50096,Bilt Copy Power Paper,School and office products,"Paper styled for the next generation
Super fine, hi-bright paper. Fast drying for inkjet printing. Laser printing at 1440 dpi
Precision cut edges for jam free usage",299
5ecfe83df21ce40059c50097,Pidilite FEVICRYL Fabric Colour 20 ml,Decorative products,"Fevicryl Fabric Colour retain the natural feel of the fabric.
Are Colour - Fast after 7 days.
Fabric does not stiffen / Crease AND No need to iron.
Sutaible on fabric and fabric based articles.
Ready to use and wash proof, AND They are non-toxic and can be used directly as no binder or medium is required.",370
5ecfe8b1f21ce40059c50098,"Ratnesh Glitter Powder for Arts & Crafts, Scrapbooking, Paper Decorations, School Project & Nail Art",Decorative products,"Glitter Powder for Craft Package includes 10 colors of glitter powder. Durable enough for a long time use. 10 Colours are Red, pink, golden, silver, blue, purple, light blue, green, cooper & black/Mix. Kids and adults can get stuck in with this fun glitter jar set, Creative Arts & Crafts, Party Decorations & Nail Art. This glitter with bright colors is a great stationery item for school and offices to make rangoli and paintings.",80
5ecfe934f21ce40059c50099,"Embroiderymaterial Assorted Mixed Sequins Sitara Combo for Craft, Embroidery and Jewellery Making",false,"Style: Assorted Sequins. Material: Plastic. Colour: Multicolor. Package Content: 50Grams. Mixed Sequins
These beautiful sequins are used to enhance your embroidery and jewelry making experience. They can be easily sewn on any fabric.",169
5ecfe9e7f21ce40059c5009a,Aadya Crafts 10 Colors Loose Sequins Cup Sequin Craft (4mm),Decorative products,"10 Colors loose sequins cup sequin crafts iridescent spangles for DIY making, 4 mm, 
50 gram Feature Each glittering sequin has a hole in the middle, easy and convenient for you to thread 
them up, you can also stick them with glue or sequin pins as decoration; 
They are made of quality PVC material, smooth and durable for using Application:.
These loose sequins are good for arts , DIY crafts , party supplies, embellishment, jewellery making 
embroidery, applique, sewing, scrapbooks, greeting cards, holiday crafts, etc. Specifications: 
Color: 10 colors Diameter: 4 mm Material: PVC material Total weight: 
50 g Quantity: approx. 400 pieces Package includes: 10 x 5 Grams of loose sequins 
Notes Small parts. Not for children under 3 years old, adult supervision is required",249
5ecfea4df21ce40059c5009b,Camlin Kokuyo Water Colour Cakes,Products for painting and colouring,"18 assorted shades
Made from rich, long lasting pigments
Conforms to child safety standards",220
5ecfea97f21ce40059c5009c,DOMS Water Color Cakes ,Products for painting and colouring,"Organic rich colour pigments
Smooth and transparent finish
Bright and intense colours
Easy to use palette lid
Excellent colouring strength",100